ax,ay,az,gx,gy,gz,target,target_name
-0.32,0.17,1.17,-28.93,-11.41,2.44,0.0,clockwise_wrist_turn
-0.29,0.07,1.16,-17.09,-14.1,1.65,0.0,clockwise_wrist_turn
-0.25,0.05,1.14,-3.6,-15.99,2.87,0.0,clockwise_wrist_turn
-0.23,0.04,1.11,6.84,-17.52,4.21,0.0,clockwise_wrist_turn
-0.22,0.02,1.09,16.72,-18.19,5.07,0.0,clockwise_wrist_turn
-0.2,0.04,1.07,21.61,-19.04,5.86,0.0,clockwise_wrist_turn
-0.2,0.07,1.06,25.7,-19.04,5.68,0.0,clockwise_wrist_turn
-0.19,0.11,1.04,26.73,-18.98,3.48,0.0,clockwise_wrist_turn
-0.19,0.15,1.03,18.62,-19.96,3.17,0.0,clockwise_wrist_turn
-0.19,0.14,1.01,6.35,-20.51,1.59,0.0,clockwise_wrist_turn
-0.19,0.11,1.01,-2.32,-20.87,0.18,0.0,clockwise_wrist_turn
-0.18,0.1,1.0,-8.3,-21.12,-0.06,0.0,clockwise_wrist_turn
-0.18,0.09,1.01,-11.84,-20.87,-0.12,0.0,clockwise_wrist_turn
-0.17,0.08,1.02,-12.15,-20.75,-0.18,0.0,clockwise_wrist_turn
-0.17,0.08,1.03,-9.95,-20.81,0.18,0.0,clockwise_wrist_turn
-0.17,0.07,1.04,-6.96,-20.87,0.55,0.0,clockwise_wrist_turn
-0.17,0.07,1.05,-4.03,-21.18,0.61,0.0,clockwise_wrist_turn
-0.16,0.07,1.04,-1.4,-21.3,0.67,0.0,clockwise_wrist_turn
-0.16,0.09,1.03,-1.04,-21.61,0.98,0.0,clockwise_wrist_turn
-0.15,0.13,1.02,-3.48,-21.61,1.1,0.0,clockwise_wrist_turn
-0.15,0.17,1.01,-8.18,-21.06,1.16,0.0,clockwise_wrist_turn
-0.15,0.17,1.01,-13.18,-20.32,1.28,0.0,clockwise_wrist_turn
-0.15,0.13,1.02,-15.87,-19.71,1.65,0.0,clockwise_wrist_turn
-0.14,0.09,1.03,-15.81,-19.53,2.26,0.0,clockwise_wrist_turn
-0.13,0.07,1.05,-13.61,-19.96,2.5,0.0,clockwise_wrist_turn
-0.13,0.07,1.06,-10.31,-20.81,3.05,0.0,clockwise_wrist_turn
-0.13,0.08,1.06,-9.22,-21.36,4.15,0.0,clockwise_wrist_turn
-0.12,0.11,1.07,-9.34,-21.42,5.92,0.0,clockwise_wrist_turn
-0.12,0.12,1.07,-11.78,-20.69,6.16,0.0,clockwise_wrist_turn
-0.12,0.12,1.06,-13.98,-19.23,5.07,0.0,clockwise_wrist_turn
-0.1,0.11,1.04,-15.93,-17.94,6.35,0.0,clockwise_wrist_turn
-0.07,0.11,1.02,-17.94,-15.75,6.16,0.0,clockwise_wrist_turn
-0.07,0.12,0.99,-20.39,-13.85,5.98,0.0,clockwise_wrist_turn
-0.07,0.12,0.98,-23.99,-12.88,5.92,0.0,clockwise_wrist_turn
-0.07,0.11,0.98,-28.02,-11.29,5.31,0.0,clockwise_wrist_turn
-0.07,0.1,1.0,-32.59,-10.8,4.64,0.0,clockwise_wrist_turn
-0.08,0.06,1.03,-35.34,-10.74,3.42,0.0,clockwise_wrist_turn
-0.09,0.03,1.06,-34.73,-11.29,2.75,0.0,clockwise_wrist_turn
-0.09,0.03,1.08,-32.96,-11.35,2.08,0.0,clockwise_wrist_turn
-0.08,0.03,1.09,-30.88,-11.41,1.16,0.0,clockwise_wrist_turn
-0.08,0.02,1.1,-27.59,-11.47,0.67,0.0,clockwise_wrist_turn
-0.07,0.0,1.09,-24.6,-11.6,-0.06,0.0,clockwise_wrist_turn
-0.06,-0.02,1.09,-21.18,-11.9,-1.04,0.0,clockwise_wrist_turn
-0.05,-0.04,1.07,-16.97,-11.84,-1.77,0.0,clockwise_wrist_turn
-0.04,-0.05,1.05,-12.82,-11.6,-2.26,0.0,clockwise_wrist_turn
-0.04,-0.05,1.02,-8.97,-10.93,-2.81,0.0,clockwise_wrist_turn
-0.04,-0.04,1.0,-5.37,-10.44,-2.69,0.0,clockwise_wrist_turn
-0.04,-0.02,0.98,-3.48,-9.77,-2.08,0.0,clockwise_wrist_turn
-0.02,0.01,0.95,-4.7,-8.54,-1.77,0.0,clockwise_wrist_turn
-0.02,0.02,0.93,-7.75,-6.84,-2.32,0.0,clockwise_wrist_turn
-0.02,0.03,0.92,-10.19,-4.33,-3.05,0.0,clockwise_wrist_turn
-0.01,0.03,0.91,-11.96,-1.71,-3.3,0.0,clockwise_wrist_turn
-0.01,0.01,0.91,-13.67,0.43,-3.42,0.0,clockwise_wrist_turn
-0.02,-0.01,0.92,-13.55,2.26,-3.48,0.0,clockwise_wrist_turn
-0.02,-0.02,0.94,-13.12,3.72,-3.54,0.0,clockwise_wrist_turn
-0.02,-0.02,0.98,-11.35,4.82,-4.52,0.0,clockwise_wrist_turn
-0.04,-0.02,1.01,-7.26,5.92,-6.23,0.0,clockwise_wrist_turn
-0.06,-0.03,1.02,-1.22,6.77,-7.81,0.0,clockwise_wrist_turn
-0.07,-0.02,1.03,5.07,7.57,-8.36,0.0,clockwise_wrist_turn
-0.07,0.0,1.03,9.46,7.69,-8.67,0.0,clockwise_wrist_turn
-0.08,0.04,1.02,10.07,7.45,-9.09,0.0,clockwise_wrist_turn
-0.09,0.08,1.01,8.18,6.96,-9.58,0.0,clockwise_wrist_turn
-0.09,0.1,1.0,4.94,6.47,-10.74,0.0,clockwise_wrist_turn
-0.09,0.1,1.0,1.59,5.43,-11.6,0.0,clockwise_wrist_turn
-0.1,0.1,0.99,-2.62,4.88,-12.57,0.0,clockwise_wrist_turn
-0.09,0.11,1.0,-7.45,4.39,-13.24,0.0,clockwise_wrist_turn
-0.09,0.11,1.01,-12.08,3.97,-13.98,0.0,clockwise_wrist_turn
-0.1,0.1,1.01,-15.81,3.36,-14.77,0.0,clockwise_wrist_turn
-0.11,0.09,1.01,-18.13,2.56,-15.44,0.0,clockwise_wrist_turn
-0.11,0.09,1.0,-20.39,1.95,-15.93,0.0,clockwise_wrist_turn
-0.1,0.1,0.99,-24.35,1.28,-16.24,0.0,clockwise_wrist_turn
-0.1,0.09,0.98,-29.3,0.79,-16.66,0.0,clockwise_wrist_turn
-0.11,0.07,0.98,-32.41,0.37,-16.91,0.0,clockwise_wrist_turn
-0.11,0.07,0.98,-33.63,-0.12,-16.24,0.0,clockwise_wrist_turn
-0.11,0.08,0.98,-34.42,-0.61,-15.44,0.0,clockwise_wrist_turn
-0.11,0.08,0.97,-35.1,-0.79,-14.83,0.0,clockwise_wrist_turn
-0.11,0.07,0.97,-35.22,-0.98,-13.85,0.0,clockwise_wrist_turn
-0.11,0.06,0.96,-35.16,-1.1,-12.94,0.0,clockwise_wrist_turn
-0.1,0.06,0.96,-35.71,-1.22,-12.33,0.0,clockwise_wrist_turn
-0.1,0.06,0.95,-36.8,-1.04,-11.6,0.0,clockwise_wrist_turn
-0.1,0.05,0.95,-37.96,-0.85,-10.56,0.0,clockwise_wrist_turn
