ax,ay,az,gx,gy,gz,target,target_name
-0.06,0.54,0.94,-23.56,-5.8,-2.2,0.0,palm_down
-0.06,0.51,0.98,-23.99,-6.77,4.39,0.0,palm_down
-0.06,0.51,1.03,-21.06,-7.14,9.7,0.0,palm_down
-0.07,0.51,1.06,-16.05,-7.87,12.39,0.0,palm_down
-0.07,0.5,1.05,-11.47,-8.73,16.11,0.0,palm_down
-0.05,0.47,1.02,-9.28,-9.77,18.98,0.0,palm_down
0.0,0.38,0.98,-4.64,-11.05,16.05,0.0,palm_down
0.04,0.36,0.96,-0.92,-13.06,15.93,0.0,palm_down
0.04,0.36,0.95,-3.6,-12.45,17.21,0.0,palm_down
0.06,0.33,0.94,-2.14,-11.54,14.53,0.0,palm_down
0.1,0.35,0.94,-0.37,-11.17,14.4,0.0,palm_down
0.11,0.41,0.95,-7.75,-11.05,16.6,0.0,palm_down
0.1,0.45,0.97,-18.68,-10.93,16.36,0.0,palm_down
0.1,0.45,1.0,-28.14,-11.6,17.09,0.0,palm_down
0.1,0.44,1.04,-35.28,-13.37,17.88,0.0,palm_down
0.11,0.44,1.07,-39.06,-14.89,20.08,0.0,palm_down
0.12,0.43,1.08,-39.67,-16.54,22.09,0.0,palm_down
0.16,0.43,1.09,-38.21,-19.1,20.51,0.0,palm_down
0.18,0.39,1.09,-36.5,-20.51,21.12,0.0,palm_down
0.16,0.34,1.08,-28.26,-22.03,19.41,0.0,palm_down
0.17,0.31,1.05,-19.29,-22.64,18.62,0.0,palm_down
0.18,0.29,1.01,-9.58,-22.77,16.05,0.0,palm_down
0.18,0.31,0.97,-4.7,-22.46,17.33,0.0,palm_down
0.18,0.34,0.94,-5.55,-22.89,15.56,0.0,palm_down
0.17,0.36,0.92,-11.17,-22.89,15.75,0.0,palm_down
0.17,0.36,0.91,-18.92,-22.28,16.6,0.0,palm_down
0.16,0.34,0.9,-27.04,-20.94,17.58,0.0,palm_down
0.16,0.31,0.9,-30.7,-19.59,18.25,0.0,palm_down
0.15,0.3,0.89,-31.74,-18.13,18.68,0.0,palm_down
0.15,0.33,0.87,-34.12,-16.85,19.47,0.0,palm_down
0.16,0.32,0.85,-37.9,-14.77,20.75,0.0,palm_down
0.15,0.3,0.83,-39.86,-12.27,22.16,0.0,palm_down
0.16,0.3,0.8,-40.47,-10.13,22.95,0.0,palm_down
0.17,0.32,0.78,-40.34,-6.65,23.19,0.0,palm_down
0.16,0.33,0.76,-40.22,-2.75,25.15,0.0,palm_down
0.15,0.32,0.77,-37.17,0.12,24.17,0.0,palm_down
0.14,0.31,0.79,-33.02,2.75,22.09,0.0,palm_down
0.12,0.31,0.8,-31.07,5.8,22.77,0.0,palm_down
0.1,0.29,0.83,-31.56,9.64,26.73,0.0,palm_down
0.09,0.26,0.84,-30.58,12.21,27.47,0.0,palm_down
0.08,0.24,0.85,-28.87,14.04,27.47,0.0,palm_down
0.07,0.25,0.87,-28.38,15.63,28.81,0.0,palm_down
0.05,0.26,0.89,-28.63,16.78,29.72,0.0,palm_down
0.04,0.26,0.9,-28.93,17.52,30.58,0.0,palm_down
0.04,0.24,0.92,-29.3,18.62,31.74,0.0,palm_down
0.05,0.2,0.94,-27.34,19.96,33.08,0.0,palm_down
0.05,0.17,0.96,-23.44,20.87,34.48,0.0,palm_down
0.04,0.16,0.98,-20.51,21.3,35.34,0.0,palm_down
0.03,0.15,0.99,-19.9,21.48,35.4,0.0,palm_down
0.03,0.09,1.0,-18.98,21.18,33.63,0.0,palm_down
0.03,0.03,1.01,-14.89,20.63,31.92,0.0,palm_down
0.03,0.0,1.02,-9.16,18.92,29.66,0.0,palm_down
0.02,0.01,1.03,-5.07,17.21,26.25,0.0,palm_down
0.0,0.02,1.05,-2.75,15.14,22.03,0.0,palm_down
-0.0,0.01,1.07,-0.49,12.7,18.01,0.0,palm_down
-0.0,-0.0,1.09,1.89,9.7,13.43,0.0,palm_down
0.0,-0.03,1.1,5.07,6.77,8.24,0.0,palm_down
0.01,-0.03,1.11,9.83,3.97,4.15,0.0,palm_down
0.01,-0.02,1.11,14.16,1.46,1.34,0.0,palm_down
-0.0,-0.02,1.1,19.35,-0.92,-1.71,0.0,palm_down
-0.01,-0.03,1.08,26.49,-2.93,-5.07,0.0,palm_down
-0.0,-0.04,1.06,35.1,-4.27,-7.45,0.0,palm_down
0.0,-0.03,1.04,44.19,-5.62,-9.64,0.0,palm_down
0.0,-0.02,1.03,53.89,-6.59,-12.57,0.0,palm_down
-0.01,0.01,1.03,63.48,-7.39,-15.81,0.0,palm_down
-0.02,0.05,1.01,70.92,-7.45,-18.55,0.0,palm_down
-0.02,0.1,1.0,74.89,-6.53,-19.29,0.0,palm_down
-0.02,0.13,0.98,77.21,-5.74,-19.65,0.0,palm_down
-0.03,0.15,0.97,79.59,-4.33,-19.47,0.0,palm_down
-0.03,0.15,0.95,84.41,-2.56,-20.14,0.0,palm_down
-0.03,0.15,0.93,91.67,-1.16,-21.0,0.0,palm_down
-0.03,0.18,0.92,97.47,-0.92,-21.36,0.0,palm_down
-0.03,0.24,0.91,99.0,-0.98,-22.4,0.0,palm_down
-0.03,0.29,0.9,96.62,-0.92,-24.11,0.0,palm_down
-0.03,0.34,0.89,89.97,-1.16,-24.96,0.0,palm_down
-0.03,0.38,0.88,77.7,-1.95,-25.63,0.0,palm_down
-0.02,0.42,0.87,62.5,-2.62,-26.37,0.0,palm_down
-0.02,0.45,0.87,46.63,-3.23,-26.79,0.0,palm_down
-0.0,0.46,0.87,31.07,-3.6,-26.31,0.0,palm_down
0.01,0.43,0.87,18.25,-3.91,-27.1,0.0,palm_down
0.02,0.4,0.88,9.83,-4.46,-28.14,0.0,palm_down
0.03,0.38,0.88,4.27,-4.7,-28.87,0.0,palm_down
0.04,0.37,0.87,-0.18,-5.13,-28.44,0.0,palm_down
0.05,0.37,0.87,-3.3,-6.04,-29.17,0.0,palm_down
0.06,0.39,0.88,-5.55,-7.57,-30.76,0.0,palm_down
0.06,0.41,0.89,-8.73,-9.09,-32.35,0.0,palm_down
0.07,0.43,0.9,-13.55,-10.5,-33.63,0.0,palm_down
0.06,0.45,0.91,-19.96,-12.63,-34.0,0.0,palm_down
0.06,0.47,0.91,-25.7,-14.34,-34.06,0.0,palm_down
0.07,0.47,0.92,-30.4,-15.56,-34.24,0.0,palm_down
0.08,0.45,0.91,-34.06,-15.81,-34.97,0.0,palm_down
0.08,0.41,0.88,-36.62,-15.2,-35.71,0.0,palm_down
0.09,0.38,0.86,-37.11,-15.2,-34.73,0.0,palm_down
0.09,0.38,0.87,-35.83,-15.38,-33.94,0.0,palm_down
0.08,0.4,0.9,-35.28,-14.89,-33.57,0.0,palm_down
0.07,0.41,0.92,-34.0,-15.08,-33.69,0.0,palm_down
