ax,ay,az,gx,gy,gz,target,target_name
0.12,-0.01,1.08,-7.45,3.05,5.13,11.0,palm_down_right_swipe
0.13,-0.05,1.1,-8.73,2.38,1.65,11.0,palm_down_right_swipe
0.14,-0.09,1.09,-6.59,-0.79,-1.16,11.0,palm_down_right_swipe
0.13,-0.11,1.07,-1.28,-2.69,-7.75,11.0,palm_down_right_swipe
0.16,-0.06,1.05,2.2,-3.23,-7.51,11.0,palm_down_right_swipe
0.16,-0.03,1.03,3.11,-3.3,-6.53,11.0,palm_down_right_swipe
0.16,-0.03,1.01,3.66,-3.17,-6.04,11.0,palm_down_right_swipe
0.17,-0.03,1.01,4.03,-3.23,-7.63,11.0,palm_down_right_swipe
0.17,-0.01,1.01,2.99,-3.3,-9.16,11.0,palm_down_right_swipe
0.17,0.01,1.0,0.73,-3.05,-8.54,11.0,palm_down_right_swipe
0.17,0.02,0.99,-1.59,-2.75,-7.2,11.0,palm_down_right_swipe
0.19,0.02,0.98,-4.15,-2.26,-6.35,11.0,palm_down_right_swipe
0.2,0.01,0.97,-6.47,-1.59,-6.16,11.0,palm_down_right_swipe
0.21,-0.01,0.95,-8.18,-0.61,-6.23,11.0,palm_down_right_swipe
0.21,-0.02,0.94,-9.28,0.55,-6.23,11.0,palm_down_right_swipe
0.22,-0.04,0.94,-9.58,1.65,-6.29,11.0,palm_down_right_swipe
0.21,-0.05,0.95,-10.01,2.69,-6.23,11.0,palm_down_right_swipe
0.21,-0.03,0.96,-10.8,2.75,-6.47,11.0,palm_down_right_swipe
0.21,-0.02,0.98,-13.49,3.42,-5.55,11.0,palm_down_right_swipe
0.21,-0.05,0.99,-14.83,3.91,-7.2,11.0,palm_down_right_swipe
0.21,-0.07,0.99,-13.12,4.7,-8.3,11.0,palm_down_right_swipe
0.2,-0.07,0.99,-10.38,5.25,-8.91,11.0,palm_down_right_swipe
0.19,-0.07,0.99,-8.3,5.25,-10.19,11.0,palm_down_right_swipe
0.19,-0.06,0.99,-6.59,5.37,-11.66,11.0,palm_down_right_swipe
0.19,-0.06,0.99,-5.43,6.16,-13.0,11.0,palm_down_right_swipe
0.19,-0.06,1.0,-4.7,6.96,-14.16,11.0,palm_down_right_swipe
0.19,-0.06,1.01,-3.72,7.2,-15.26,11.0,palm_down_right_swipe
0.18,-0.05,1.01,-3.23,7.14,-15.99,11.0,palm_down_right_swipe
0.19,-0.04,1.02,-3.78,6.71,-15.75,11.0,palm_down_right_swipe
0.19,-0.05,1.03,-3.42,5.68,-14.77,11.0,palm_down_right_swipe
0.2,-0.04,1.03,-2.62,4.46,-13.61,11.0,palm_down_right_swipe
0.21,-0.03,1.03,-2.62,3.66,-12.02,11.0,palm_down_right_swipe
0.22,-0.03,1.02,-2.87,3.17,-10.74,11.0,palm_down_right_swipe
0.22,-0.02,1.01,-4.03,2.87,-9.46,11.0,palm_down_right_swipe
0.22,-0.01,0.99,-5.92,2.87,-8.18,11.0,palm_down_right_swipe
0.22,-0.03,0.98,-7.51,3.11,-7.32,11.0,palm_down_right_swipe
0.21,-0.04,0.98,-7.39,3.6,-6.47,11.0,palm_down_right_swipe
0.21,-0.05,0.98,-6.59,4.15,-5.68,11.0,palm_down_right_swipe
0.2,-0.04,0.98,-5.68,4.52,-5.37,11.0,palm_down_right_swipe
0.19,-0.04,0.98,-4.39,4.76,-4.46,11.0,palm_down_right_swipe
0.19,-0.03,0.97,-4.09,5.07,-3.11,11.0,palm_down_right_swipe
0.19,-0.02,0.97,-5.0,5.37,-2.01,11.0,palm_down_right_swipe
0.19,-0.02,0.96,-6.59,5.86,-1.77,11.0,palm_down_right_swipe
0.18,-0.02,0.96,-8.85,6.47,-1.46,11.0,palm_down_right_swipe
0.18,-0.03,0.96,-11.23,7.2,-1.1,11.0,palm_down_right_swipe
0.17,-0.05,0.97,-12.94,7.81,-0.55,11.0,palm_down_right_swipe
0.16,-0.06,0.97,-14.22,8.18,-0.18,11.0,palm_down_right_swipe
0.15,-0.08,0.98,-15.93,8.54,-0.18,11.0,palm_down_right_swipe
0.14,-0.1,0.99,-17.58,8.67,-0.37,11.0,palm_down_right_swipe
0.13,-0.13,1.0,-19.17,8.61,-0.85,11.0,palm_down_right_swipe
0.13,-0.18,1.02,-19.84,8.54,-1.95,11.0,palm_down_right_swipe
0.12,-0.24,1.02,-19.35,8.12,-3.97,11.0,palm_down_right_swipe
0.11,-0.32,1.03,-17.21,7.57,-6.84,11.0,palm_down_right_swipe
0.11,-0.39,1.01,-12.7,7.14,-11.72,11.0,palm_down_right_swipe
0.12,-0.47,1.0,-7.51,6.84,-18.37,11.0,palm_down_right_swipe
0.11,-0.53,1.0,-2.87,6.53,-25.7,11.0,palm_down_right_swipe
0.11,-0.58,0.99,-0.43,6.53,-34.79,11.0,palm_down_right_swipe
0.11,-0.63,0.98,-1.71,7.02,-44.86,11.0,palm_down_right_swipe
0.09,-0.7,0.98,-3.85,7.69,-55.91,11.0,palm_down_right_swipe
0.07,-0.8,0.97,-3.48,9.09,-68.97,11.0,palm_down_right_swipe
0.06,-0.89,0.96,-2.01,10.8,-83.68,11.0,palm_down_right_swipe
0.04,-0.99,0.94,0.98,11.84,-100.4,11.0,palm_down_right_swipe
0.05,-1.09,0.9,5.37,14.65,-120.73,11.0,palm_down_right_swipe
0.08,-1.16,0.89,7.51,19.9,-140.87,11.0,palm_down_right_swipe
0.05,-1.19,0.92,12.02,22.58,-158.51,11.0,palm_down_right_swipe
0.05,-1.03,0.95,13.73,26.61,-173.16,11.0,palm_down_right_swipe
0.01,-1.01,1.09,6.41,25.21,-189.39,11.0,palm_down_right_swipe
-0.21,-0.98,1.19,18.55,9.64,-237.0,11.0,palm_down_right_swipe
-0.35,-0.69,1.15,19.65,8.79,-241.09,11.0,palm_down_right_swipe
-0.28,-0.39,1.1,4.21,9.4,-242.31,11.0,palm_down_right_swipe
-0.24,-0.25,1.03,-23.44,15.69,-241.09,11.0,palm_down_right_swipe
-0.32,-0.34,1.02,-33.75,20.81,-244.57,11.0,palm_down_right_swipe
-0.44,-0.35,1.08,-19.78,21.79,-244.75,11.0,palm_down_right_swipe
-0.55,-0.14,1.14,-0.37,18.25,-247.25,11.0,palm_down_right_swipe
-0.62,0.23,1.16,4.64,15.99,-240.66,11.0,palm_down_right_swipe
-0.64,0.44,1.2,0.12,16.05,-229.86,11.0,palm_down_right_swipe
-0.64,0.42,1.22,2.99,11.23,-223.21,11.0,palm_down_right_swipe
-0.61,0.46,1.18,12.94,4.7,-206.36,11.0,palm_down_right_swipe
-0.52,0.56,1.14,21.42,-0.06,-184.81,11.0,palm_down_right_swipe
-0.4,0.66,1.1,28.81,-1.71,-164.43,11.0,palm_down_right_swipe
-0.29,0.74,1.06,33.33,-3.54,-142.58,11.0,palm_down_right_swipe
-0.19,0.81,1.03,29.91,-3.6,-124.02,11.0,palm_down_right_swipe
-0.11,0.82,1.02,23.32,-3.78,-107.97,11.0,palm_down_right_swipe
-0.05,0.81,1.0,16.24,-6.29,-93.75,11.0,palm_down_right_swipe
0.01,0.79,0.99,5.8,-8.36,-79.77,11.0,palm_down_right_swipe
0.07,0.69,0.98,-5.8,-8.91,-69.76,11.0,palm_down_right_swipe
0.12,0.55,0.98,-9.64,-9.64,-65.06,11.0,palm_down_right_swipe
0.14,0.45,0.96,-8.24,-9.7,-58.9,11.0,palm_down_right_swipe
0.17,0.4,0.94,-5.0,-8.85,-50.72,11.0,palm_down_right_swipe
0.2,0.38,0.92,-5.07,-6.23,-47.97,11.0,palm_down_right_swipe
0.18,0.35,0.92,-4.21,-6.84,-42.11,11.0,palm_down_right_swipe
0.17,0.28,0.92,-3.54,-6.9,-43.15,11.0,palm_down_right_swipe
0.2,0.22,0.93,0.85,-6.84,-48.58,11.0,palm_down_right_swipe
0.2,0.24,0.92,3.48,-5.8,-46.88,11.0,palm_down_right_swipe
0.19,0.26,0.92,3.78,-3.6,-45.17,11.0,palm_down_right_swipe
0.18,0.26,0.92,5.43,-0.98,-43.7,11.0,palm_down_right_swipe
0.16,0.26,0.92,8.79,1.1,-40.47,11.0,palm_down_right_swipe
0.15,0.26,0.92,12.15,1.65,-36.25,11.0,palm_down_right_swipe
0.14,0.27,0.93,15.99,1.83,-32.1,11.0,palm_down_right_swipe
0.14,0.31,0.92,20.63,2.32,-29.36,11.0,palm_down_right_swipe
0.13,0.38,0.91,21.55,2.87,-26.98,11.0,palm_down_right_swipe
0.11,0.46,0.91,18.62,3.54,-22.89,11.0,palm_down_right_swipe
0.1,0.51,0.91,12.63,4.33,-17.88,11.0,palm_down_right_swipe
0.08,0.56,0.92,4.76,4.64,-11.72,11.0,palm_down_right_swipe
0.07,0.58,0.93,-3.54,4.82,-4.15,11.0,palm_down_right_swipe
0.06,0.59,0.94,-11.23,5.37,5.19,11.0,palm_down_right_swipe
0.06,0.57,0.96,-16.85,6.04,14.89,11.0,palm_down_right_swipe
0.06,0.53,0.98,-19.53,5.49,23.38,11.0,palm_down_right_swipe
0.06,0.53,0.98,-21.3,4.58,30.76,11.0,palm_down_right_swipe
0.07,0.57,0.97,-24.29,3.42,38.39,11.0,palm_down_right_swipe
0.04,0.61,0.99,-29.6,4.33,50.78,11.0,palm_down_right_swipe
0.03,0.59,0.99,-33.14,-2.26,67.2,11.0,palm_down_right_swipe
0.04,0.59,0.99,-39.37,1.46,69.4,11.0,palm_down_right_swipe
0.01,0.63,1.01,-42.48,-2.75,82.09,11.0,palm_down_right_swipe
-0.02,0.66,1.02,-46.57,-3.97,91.8,11.0,palm_down_right_swipe
-0.02,0.71,1.03,-52.61,-4.27,105.9,11.0,palm_down_right_swipe
-0.05,0.7,1.02,-59.69,-5.37,121.83,11.0,palm_down_right_swipe
-0.08,0.63,1.04,-64.94,-7.93,134.03,11.0,palm_down_right_swipe
-0.1,0.54,1.06,-65.73,-9.64,146.55,11.0,palm_down_right_swipe
-0.11,0.46,1.1,-61.28,-11.11,162.23,11.0,palm_down_right_swipe
-0.11,0.4,1.11,-51.76,-13.31,174.5,11.0,palm_down_right_swipe
-0.12,0.36,1.1,-41.02,-15.08,184.69,11.0,palm_down_right_swipe
-0.11,0.29,1.1,-31.86,-16.78,194.21,11.0,palm_down_right_swipe
-0.11,0.2,1.12,-21.12,-19.04,201.48,11.0,palm_down_right_swipe
-0.11,0.1,1.13,-8.24,-21.67,207.89,11.0,palm_down_right_swipe
-0.1,0.02,1.14,5.43,-23.74,211.18,11.0,palm_down_right_swipe
-0.08,-0.07,1.13,16.3,-24.66,211.98,11.0,palm_down_right_swipe
-0.06,-0.18,1.12,25.21,-26.12,208.74,11.0,palm_down_right_swipe
-0.03,-0.3,1.1,33.57,-28.75,199.65,11.0,palm_down_right_swipe
0.0,-0.39,1.07,38.94,-30.33,191.04,11.0,palm_down_right_swipe
0.04,-0.49,1.04,43.09,-31.98,180.24,11.0,palm_down_right_swipe
0.08,-0.54,1.0,46.63,-33.57,167.11,11.0,palm_down_right_swipe
0.1,-0.54,0.97,47.12,-33.2,154.72,11.0,palm_down_right_swipe
0.11,-0.55,0.95,44.74,-32.1,142.82,11.0,palm_down_right_swipe
0.12,-0.58,0.93,40.89,-30.82,130.31,11.0,palm_down_right_swipe
0.13,-0.61,0.91,36.62,-28.2,117.31,11.0,palm_down_right_swipe
0.15,-0.65,0.89,33.75,-24.84,105.29,11.0,palm_down_right_swipe
